chr,en,num_words
"”Ꭾ, ᎾᏄᏍᏗ ᎡᏆ ᎧᏅᏂᏍᎩ!” ᎤᏛᏁ.","“Hey, look at that big spider!” he said.",8
ᎤᎴᏅᎭ ᏣᎵ ᎤᏓᎵ ᏁᏂᏏ ᏚᏯᏪᏨ.,"It began when Charley’s wife, Nancy, had grown tired.",9
ᎧᏴᏐᎵ ᎤᏂᏴᎮ ᏗᏓᏁᎸ ᎢᏣ ᏭᏓᏒᏍᏔᏁᎢ.,She held her nose and ran toward the house.,9
"ᏚᏟᏂᏆᏅᏁ ᏫᎵᎻ, ᏂᎦᏓ ᎤᏔᎷᎩᏍᎬ ᎤᎵᏛᏔᏁᎢ.","Wilbur sank to his knees, all radiance gone.",8
ᎪᏯᏛ ᎭᏫᏂᏣ ᏫᏄᏩᏁᎢ ᎠᏍᎪᎵ.,She sat with head tucked under a wing.,8
”ᎦᎵᏉᎩ ᎠᏎᏍᏗ ᎣᏍᏓ ᎠᎫᎷᏤᏗ.”,“Seven is a lucky number.”,5
"ᏌᏉ ᎤᎬᏫᏳᎯ, ᏌᏉ ᎪᎯᏳᏗ ᎨᏒᎢ, ᏌᏉ ᏗᏓᏬᏍᏗ ᎨᏒᎢ;","one Lord, one faith, one baptism,",6
ᎠᏎᏃ ᎤᏩᏒ ᎠᏰᎸ ᎠᏓᏁᎸ ᎧᏁᎢᏍᏗᏍᎬᎩ ᎾᏍᎩ ᏄᏪᏒ.,But he spake of the temple of his body.,9
“ᏕᏨᏯᏓᏂᎸᎦ ᏐᏈᎵ ᏃᎴ ᏩᎦ ᏧᏂᏍᏆᏂᎪᏙᏗ.,“Welcome to the barn cellar.,5
“ᎠᏥᎪᏅᏔᏁᎢ ᎠᏣᏗ.,“The fish lost the fight.,5
"“ᎡᏝᏪᎯ, ᏧᏍᏆᏴᏍᏗ!” ᎤᏛᏁ ᎠᎦᏴᎵ ᎤᏃᏕᎾ.","“Be quiet, Templeton!” said the sheep.",6
"“ᎣᏏᏉᏗ ᏫᎵᎻ ᏃᏉ,” ᎤᏛᏁ ᏲᎾ ᎤᏤᏍᏙ.","“Wilbur’s all right now,” said Fern.",6
"“ᎠᏎᏃ ᎨᏍᏗ ᏚᏳᎪᏛᎢ ᏱᎩ,” ᎤᏦᏱᎴ ᏲᎾ ᎤᏤᏍᏙ.","“But it’s unfair,” cried Fern.",5
ᏚᎨᎯᏙᎸᎩᏃ ᏗᎫᎪᏙᏗᏱ ᎦᏍᎩᎸᎢ.,And he drove them from the judgment-seat.,7
ᎠᏦᏴ ᏭᏴᎴ.,He stepped through the fence into his yard.,8
"Ꮶ ᎢᏳᏟᎶᏓ ᎾᎥ, ᏧᏪᏅᏒ ᎨᎲ.",She lived about three miles away.,6
”ᏗᏁᎸᏙᏗᎨ?”,“Is it a plaything?”,4
"ᎾᏍᎩᏃ, ᎪᎱᏍᏗ ᎤᎵᏍᏔᏅ.","Of course, not a broken one.",6
"ᎾᏂᎥᏰᏃ ᎠᏥᎸ ᎬᏗ ᎠᎹ ᎨᏥᏅᏝᏰᏗ ᎨᏎᏍᏗ, ᎠᎴ ᏂᎦᎥ ᎠᏥᎸ-ᎨᎳᏍᏗ ᎠᎹ ᎦᏅᎵᏰᏗ ᎨᏎᏍᏗ.",For every one shall be salted with fire.,8
"“ᏫᎵᎻ ᏚᏙᎡᏍᏗ,” ᎤᏩᏌ ᏄᏓᏪᏎᎴ.","“Its name is Wilbur,” she whispered to herself.",8
”ᎯᏯᎦᏎᏍᏕᏍᏗ ᎰᎻ!” ᎤᏪᎷᏁ ᏌᏌ ᎠᏨᏯ.,“Look out for Zuckerman!” yelled the gander.,7
ᎤᎾᎵᏓᎩᏍᏗ ᎤᎾᏗᏍᎦᎶᏗ ᎠᎴ ᏧᎾᏓᏲᎯᏍᏗ?,To flee or hide or surrender?,6
ᏧᏂᏐᎯᏍᏗ ᎤᏛᏅ Philadelphia ᏓᏳᎶᏒ ᎠᏧᏣ.,"The border, leastways, said the Philadelphia boy.",7
ᎪᎯᏓ ᏚᎾᎧᎾᏁᎢ ᏫᎵᎻ.,They stared and stared for a long time at Wilbur.,10
ᏰᎵ ᏥᏍᎦᏰᎬᏍᏓ ᏨᏆᎧᏃᏗ ᎨᏒ.,"By any standard, I looked irreproachable.",6
ᏃᏗ ᎠᎵᎦᏲᏙᏗ ᎤᏰᎸ ᏣᎵᎧᏲᏗᏍᎪ ᎱᏰᎸᏁᎢ.,Then he dried himself with an imaginary towel.,8
ᎾᏆᏕᏘᏴᎲ ᏂᎬᏂᏏ ᎡᎵᏍᏗ.”,"My age, I guess.”",4
ᎬᏂᏳᏉ ᎢᏣᏤᎵ ᎦᎵᏦᏕ ᏅᏔ ᏁᏨᏁᎸ.,"Behold, your house is left unto you desolate.",8
ᏣᏁᎳ ᎠᏰᎵ ᏫᎦᏅᎨᎢ ᏣᏄᏏ.,Lurvy was in bed by eight-thirty.,6
ᎡᎯᏍᏛ ᎤᏰᏍᏔᏁᎢ ᏫᎵᎻ.,The pain revived Wilbur.,4
ᎠᎦᏗᏓ ᏅᏩᏍᏛ.,It seemed unimaginably large.,4
”ᎬᏯᎵᎮᎵᏤᎭ!” ᏍᏓᏯ ᏄᏪᏎ ᏫᎵᎻ.,“Congratulations!” shouted Wilbur.,3
ᏒᎦᎾᏲᎪ!,"My, my!",2
ᏔᎵᏚ ᎢᏯᏂ ᏧᏁᏠᏍᏗ.,And that to feed a dozen people.,7
ᎠᏆᏅᏛ ᏔᏘᏲᎯ.,I recollect that you’re an attorney.,6
"“ᏤᏍᏗ ᏱᏣᏓᏅᏖᏗᏍᎨᏍᏗ ᏄᏍᏛ ᎠᎦᏍᏉᏟᎢ,” ᎤᎵᏍᎦᏎᏔᏁᎢ ᏧᏍᏆᏴᏍᏗ.","“Don't worry about my stomach,” snarled Templeton.",7
ᎬᏃᏌᏍᏗᏍᎬᎢ ᎤᏩᏂᎨᎢ ᎥᏃᏥ,Of easy wind and downy flake.,6
“Ꮘ-Ꮘ-Ꮘ!”,“Bee-bee-bee!”,1
ᎠᎴ ᎾᏍᎩ ᎧᏃᎮᏍᎩ ᎢᏣᎵᏍᏕ ᎸᏙ-Ꮧ ᏂᎦᎵᏍᏗᏍᎨᏍᏗ.,It shall turn out unto you for a testimony.,9
"ᏮᎩᏙᎵᎩ, ᏧᏍᏆᏴᏍᏗ ᎨᎵᎠ.","Bless my soul, I believe it was old Templeton.",9
ᏄᏨᏉᏛᎾ ᏃᎴ ᎨᏍᏗ ᎣᏍᏓ ᎤᏰᎸᎯ ᏱᎩ ᏯᏂᎸᏉᏗᎭ.,He's modest and can’t stand praise.”,6
ᎨᏍᏗ ᏳᏓᏍᏕᏓᎵᏴᏌ ᎤᎧᏛ ᏲᎾ.,Bear’s face did not shift one way or the other.,10
ᎿᏉᏃ ᏆᎴᏗ ᎤᏂᏴᎲᎩ ᏥᏌ ᎠᎴ ᎤᎵᎥᏂᎸᎩ.,"Then Pilate therefore took Jesus, and scourged him.",8
ᎠᎦᏑᏴᏛ ᎡᏣᎸᎢ ᏧᏪᏥ ᏫᎨᏣᏲᎵᎭ. ᎡᎺᏅ.,The children of thine elect sister salute thee.,8
"“ᏙᎢᏳᏍᏗ ᏂᎦᎵᏍᏗᎭ?” ᎤᏛᏛᏁ, ᏚᎪᎭ ᎨᏥᎾᏌᎢ ᎤᎾᏓᏓᏍᎬ.","“What's up? he asked, seeing the animals assembled.",8
"“ᎠᎵᏍᏆᏙᎾ ᏃᎴ ᎠᎵᏛᏓ, ᎠᎵᏍᏆᏙᎾ ᏃᎴ ᎠᎵᏛᏓ.","“Over and gone, over and gone.",6
“ᎦᏙᏃ ᏍᎩᎪᏩᏘᏍᎬᎾ? ᎤᏛᏛᏁ ᏏᏆ.,“Why can’t you?” asked the pig.,6
ᏫᎵᎻ-ᎢᎵᎻ-ᎢᎵᎻ ᎤᏩᏌ ᏓᏰᏏ ᏗᎾᏓᎪᎾᏗᏍᎬᎢ.”,Only Wilbur—ilbur-ilbur is going to the Fair.”,7
ᎦᏓᏁ ᏂᏚᎵᏍᏔᏁ ᏗᎦᏙᎵ ᏚᏌᏬᎴ.,His eyes grew wet with tears.,6
“ᎠᏇᏍᏔᏁᎯ! ᎠᏇᏍᏔᏁᎯ!”,I'm in pain! I'm in pain!,6
ᏚᎨᏩᏗᏍᏗᏍᎬ.,He was partly blinded.,4
“ᎤᏨᏉᏗ ᏱᎨᏒᎾ ᏔᎵ ᏂᏚᏓᎴ ᏗᎪᏏᏐᏗ.,“ ‘Humble’ has two meanings.,5
“ᎠᏆᏟᏂᎩᏓ ᏨᏆᎧᏃᏗ ᎢᎪᎯᏓ,"You see, I must stay looking strong",7
Ꮟ ᏛᎬᏔᏲᏎᎵ ᏫᏤᏓᏍᏗ.”,I'll have to ask you to try again.”,8
"ᎤᏙᎯᏳᎯᏯ ᎢᎦᏪᏛ, ᎠᎴ ᏩᏍᏛ ᏧᏓᏂᎸᎢᏍᏗᏳ;","Faithful is the saying, and worthy of all acceptation.",9
"”ᎤᏬᏚᏨ ᏣᏓᏃᏴᎵᏍᏗ,” ᎬᏣᏓᏗ ᏄᏪᏎ ᎠᎦᏴᎵ ᎤᏃᏕᎾ.","“You’re certainly making a beautiful noise,” snapped the old sheep.",10
ᎤᏛᏅ ᏲᎾ.,Bear said.,2
“ᏙᎢᏳᏍᏗ ᎦᎵᏍᏗᎭ ᎠᎪᏕᏍᎩ?,"“What’s going on, Zuckerman?",4
ᎨᏍᏗ ᎠᏓᏅᏖᏗ ᏱᎨᏎ ᎾᏍᎩᏴ.,Thinking was not what the moment called for.,8
ᎤᏓᏅᏖᎴ ᎤᏍᏕᏓᎵᏴᏍᏗ ᎢᏳᏍᏗ ᎭᏂᏃᎮᏍᎬᎢ.,He decided to change the subject.,6
"“ᎡᏝᏪᎯ,” ᏧᏬᏎᎴ ᏲᎾ ᎤᏤᏍᏙ.","“Oh, keep quiet!” hollered Fern.",5
“ᎨᏍᏗ ᎯᎸᎯᏳ ᏍᎩᎾᎾ ᎢᏳᎵᏍᏔᏅ ᏱᎩ.”,“It’s never been done.”,4
ᎤᏁᎵᏒᏃ ᎤᎩᎸᏉᏔᏅ ᏩᎩᎷᎯᏍᏗ ᏗᏇᏅᏒ.,"He said, I’m meant to come home someday with honors.",10
ᏚᎧᎾᏁ ᏏᏆ.,The pig stared at her.,5
”ᏂᎦᏓ ᎢᏣᎦᏎᏍᏓ!” ᎤᏪᎷᏁ.,“Everybody watch!” he cried.,4
"“ᏥᎪᏩᏔ! ᎤᏛᏁ ᎡᎳᏆᏗ, ᎡᎳᏗ ᏭᏕ ᎦᎶᏇ.","“Let's see it!” said Avery, setting his gun down.",9
"ᎱᏙᎯᏳᎭᏰᏃ, ᎢᏳᏍᏗᏉ ᏂᏥᏪᏍᎬ ᏧᏳᎪᏗ ᎢᏯᎩᏪᏍᏗ.","It’s true, and I have to say what is true.",10
ᏫᏚᏓᏴᎳᏛᎢ ᏭᎵᏛᏓᏁᎢ.,He vanished into the shadows.,5
ᎦᏚᏏ ᏭᎾᎵᏒᏍᏔᏁ.,Then they went running upward into the mountains.,8
ᏧᏁᎦ ᏧᎪᎳ ᎣᎦᎾ ᏧᏣᏲᏍᏘ ᏧᏂᎪᏍᏙᏓ.,White bones gnawed by porcupines.,5
ᎠᎴ ᏌᏊ ᏯᎦᏴᎵ ᎾᏕᏘᏯ ᏂᏗᏈᎪᎢ.,They have been alive for thousands of years.,8
ᏃᏉ ᏨᏌ ᏔᏕᎶᎰᏏ ᏄᏳᏛ ᏏᏆ.”,Then you'll see what trouble a pig can be.”,9
“ᏃᏉ---ᎢᎫᏩᏟᏍᏓ.,“Now then — there is no time to be lost.,10
ᎯᏗᏍᏓᏩᏚᎦ ᎠᎵᏰᎾ ᎠᏙᎯ ᎡᏙᎲᎢ.,Let's go for a walk in the woods with Asmeret.,10
ᎣᏍᏓ ᎠᎵᏍᏓᏴᏗ!,What eating!,2
ᏁᎳᎩᏉ ᎨᏎᏍᏗ ᎠᏟᎸ.,So fighting was out.,4
ᎨᏍᏗ ᏱᏓᎬᏯᏧᏔᏅ ᎤᏛᏅ.,Finally he said that he did not intend to altercate.,10
ᏂᎦᏛᏃ ᏴᏫ ᎬᏩᎪᎮ ᎡᏙᎲᎢ ᎠᎴ ᎦᎸᏉᏗᏍᎬ ᎤᏁᎳᏅᎯ.,And all the people saw him walking and praising God:,10
”ᎠᏎᏃ ᎨᏍᏗ ᎤᏣᏘ ᎣᏍᏓ ᏱᎩ ᎠᏯ ᏌᎳᏓ.”,"“But I'm not terrific, Charlotte.",5
ᎠᏐᏩᏘᏍᎪ ᎦᏓ ᏃᎴ ᎤᎪᏏᏓ ᎢᏯᏅᏁ ᏂᎬᎾᏛᎢ.,She sees soil and decomposers everywhere.,6
"ᎠᎴ ᏔᎵᏁ ᏪᎯ ᎾᏍᎩ ᎤᏓᏴᏒᎩ, ᎠᎴ ᎤᏲᎱᏒ ᏧᏪᏥ ᎾᏁᎲᎾ.",and the second:,3
ᎠᎦᎵᎭ ᎪᎯ ᎢᎦ.,Today it is sunny outside.,5
“ᏤᏍᏗ ᎯᎸᎯ!” ᎤᏦᏱᎴ.,“Please don't kill it!” she sobbed.,6
ᎠᏥᎳ ᏓᏆᎴᎳ ᏧᏟᎷᏆᏗᏅᏓ ᎤᎵᎨᏯᏛᏅ ᎾᎥᏂᎨᎢ ᏄᏍᏛ.,It looked like the aftermath of a train wreck.,9
ᎢᏳᏃ ᏰᎵ ᎤᏚᎩ ᏂᎨᏒᎾ.,"Otherwise, despair.",2
ᎨᏍᏗ ᏴᎦᏔᎭ ᎢᏳᎵᏍᏙᏗ ᏗᎾᏓᎪᎾᏗᏍᎬᎢ.,We can’t tell what may happen at the Fair Grounds.,10
ᎢᎦᏛᏃ ᏓᎾᏕᎰᏗᏍᎬ ᎯᎠ ᏄᏂᏪᏎᎢ; ᎢᏤ ᎩᎦᎨ-ᎠᏗᏔᏍᏗ ᏚᏂᎧᎵᏨ.,"But others mocking said, They are filled with new wine.",10
"ᏧᏓᎴᏅᏛᏍᎩᏂᏃᏅ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎠᎵᏍᎪᎸᏔᏅᎯ, ᎠᏎᏃ ᎾᏍᎩᏉ ᏌᏉ ᎠᏓᏅᏙ.","Now there are diversities of gifts, but the same Spirit.",10
ᎨᏍᏗ ᎡᏝᏪᎯ ᏱᎨᏐ ᏐᏈᎵ ᏃᎴ ᏩᎦ ᏧᏂᏍᏆᏂᎪᏙᏗ.,A barn is never perfectly quiet.,6
“ᎭᏓᏏᏓ!” ᎤᏓᏅᏫᏍᏔᏁ ᏌᎳᏓ.,“Run around!” commanded Charlotte.,4
ᏤᏍᏗ Ꮟ ᎪᎱᏍᏗ ᏱᏍᎩᏃᎯᏎᎴᏍᏗ.,“Don’t tell me any more.,5
ᎨᏍᏗ ᏱᎦᏚᎵ ᎰᎻ ᎤᏓᏅᏖᏗ ᎤᏍᏓᎦᏴᎯᏓ ᎨᏒ ᏫᎵᎻ.,We don’t want Zuckerman to think Wilbur is crunchy.,9
ᎤᎩᏓᏟᏅᏯ ᎢᎾ?,What about Featherstone?,3
ᎤᏐᏅᎢᏴ.,Not flight but slog.,4
”ᏔᎷᎩᏍᎩ ᎬᏗ ᏣᎶᏅᎮᎭ.,"“It’s the old pail trick, Wilbur.",6
ᎩᎶ ᏕᎦᎵᎷᎨᏍᏗ ᎤᏛᎪᏗᏱ ᎾᏍᎩ ᎠᏛᎩᏍᎨᏍᏗ.,"He that hath ears to hear, let him hear.",9
ᎾᎿᏃ ᎠᏁᏙᎮ ᎠᎾᎵᏥᏙᎲᏍᎨ ᎣᏍᏛ ᎧᏃᎮᏛ.,and there they preached the gospel.,6
ᏥᏌᏃ ᎤᏴᎴ ᎠᎴ ᎤᎶᏎ ᏤᎵᎪ.,And he entered and was passing through Jericho.,8
"”ᏄᏦᏍᏛᎾ ᎨᏎᎢ,” ᎤᏓᏙᏎᎴ ᎤᏩᏌ.","“Why, how perfectly simple!” she said to herself.",8
ᎤᏍᏗ ᏍᎪᏯ ᎤᏍᏆᏂᎪᏛ ᎤᏩᏯᎨᎢ.,She ate a small bug that she had been saving.,10
ᎤᏙᎯᏳᎭᏍᎪᏃ ᎠᏚᎸᏗ ᎠᎵᏍᏔᏴᏗ ᏥᏃᎮᎭ?,“Is this appetizing yarn of yours true?,7
"“ᎨᏍᏗᏗ ᏱᏓᏓᎴᎦ,” ᎤᏛᏁ ᏌᎳᏓ.","“That doesn't make a particle of difference,” replied Charlotte.",9
"”ᎭᏩ,” ᎤᏛᏁ ᎤᏙᏓ, ”ᎤᏍᏗᎩᎨ ᏍᎩᎾᎾ.”","“Well,” said her father, “he’s a runt.",7
ᎠᎢᏒ ᎠᏁᎸᏗᏍᎨᎢ ᎤᏍᎦᏍᏗ ᏱᎨᏒᎾ.,As he walked he tried to be brave,8
ᏎᎦᏨ ᎤᎵᏛᏔᏁᎢ.,He got out of sight just in time.,8
ᎿᏉᏃ ᎬᏂᎨᏒ ᏥᏌ ᎯᎠ ᏂᏚᏪᏎᎸᎩ; ᎳᏏᎳ ᎤᏲᎱᏒ;,"Then Jesus therefore said unto them plainly, Lazarus is dead.",10
"”ᏔᏣᎪᎳᏗᎾ!” ᎤᏪᎷᏁᎢ ᎡᎳᏆᏗ, ᎭᏫᏂᏗᏣ ᏭᎵᏖᎸᏂᎴᎢ.","“Scratch it!” yelled Avery, as he sailed back.",8
ᏂᎦᏗᏳ ᏧᏓᎴᏅᏛ ᏕᏥᎸᏫᏍᏓᏁᎲ ᎪᎱᏍᏗ ᏂᏗᏣᏓᏕᎵᏎᎲᎾ ᎠᎴ ᏥᏣᏗᏒᎯᎲᎾ ᎨᏎᏍᏗ;,Do all things without murmurings and questionings:,7
ᎠᎬᏱᏣ ᏓᏂᏅᏌᏛᎢ ᏗᎬᏗ ᎤᏂᏲᎵᎴ ᏧᏂᏍᏗ ᎧᏅᏂᏍᎩ.,The little spiders waved their forelegs at him.,8
"”ᎨᎾ ᏏᏆ!” ᎤᏛᏁ ᎰᎻ, ᎦᎵᎥᏂᎮ ᏔᎷᎩᏍᎩ ᎪᏱᏂᏓᏍᏗ","“Come, pig. said Mr. Zuckerman, tapping the pail.",8
ᏗᎩᏏ ᎦᏓᏍᎬ ᏭᎩᎶᏫᏎ ᏫᎵᎻ.,Wilbur scrambled to the top of the manure pile.,9
"“ᎠᎩᏲᏏ,” ᎤᏛᏁ ᏍᏗᏫ.","“I’m hungry,” said Stephen.",4
ᎩᎶ ᏕᎦᎵᎷᎨᏍᏗ ᎤᏛᎪᏗᏱ ᏩᏛᎬᎦ.,"If any man hath ears to hear, let him hear.",10
"“Ꮎ,” ᎤᏛᏁ.","“Here,” she said.",3
"“Ꭵ, ᎠᏎᏃ ᎭᎦᏓ ᎡᏝᏪᎯ ᎯᎪ ᎢᎦ.","“Yes, but you seem specially so today.",7
ᎾᏍᎩ ᎢᏳᏍᏗ ᏥᏌ ᎤᏁᏨᎩ ᎯᎠ ᏂᏚᏎᎸᎩ; ᏞᏍᏗ ᏱᏥᎪᏁᎶᏍᎨᏍᏗ.,"Jesus answered and said unto them, Murmur not among yourselves.",10
ᏯᏍᎦᎳ ᎤᏪᏅᏍᏗ ᏗᎾᏓᎪᎾᏗᏍᎬᎢ.”,He'd be scared to go to the Fair.”,8
ᏴᏧᏓᏍᎪᏃ ᎤᏩᏙᎯᏴᏓ?,How can you argue against peace?,6
"“ᏙᏳ ᏦᏚᎯ ᎨᎵᎠ,” ᎤᏛᏁ ᏫᎵᎻ.","“I think you’re beautiful,” said Wilbur.",6
ᏙᎢᏳᏍᏗ ᏓᏗᏩᏛᎯ.,Let's see what we can find.,6
“ᏣᏓᏬᏍᏗ ᎤᏍᏆᎸᎭ!” ᎤᏛᏁ ᎰᎻ ᎤᎵᎮᎵᏍᏗ.,"“Bath time!” said Zuckerman, cheerfully.",5
"”ᏍᎩ,” ᎤᏛᏁ ᏌᏌ ᎠᏨᏯᎢ.","“Thank you,” said the gander.",5
ᏂᎦᎥᏉ ᎢᎬᏆᏛᏁᏗ ᎦᎶᏁᏛ ᎢᏳᏩᏂᏌᏛ ᎾᏍᎩ ᏣᏆᎵᏂᎪᎯᏍᏗᎭ.,I can do all things in him that strengtheneth me.,10
ᏧᏩᏍᏉᎸ ᏧᏍᏗ ᎩᎦᎨ ᏅᏯ ᎢᏳᏍᏗ ᏚᏓᏁᎮ ᏧᏆᎶᎬ.,Drops became rare as garnets cupped in fallen leaves.,9
"ᎠᎴ ᏧᏓᎴᏅᏛ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎨᏒᎢ, ᎠᏎᏃ ᎾᏍᎩᏉ ᏌᏉ ᎤᎬᏫᏳᎯ.","And there are diversities of ministrations, and the same Lord.",10
ᏂᎦᏓᏍᎪᏃ ᎠᏂᏴᏫᏯᎭ?,But all of them Indians?,5
ᏧᏪᏘ ᏗᎧᎾᏩᏛᏍᏗ ᏕᏥᏍᏔᏩᏕᎪ.,I went by the old rules.,6
ᎧᏃᎮᏛᏍᎩᏂ ᎤᏁᎳᏅᎯ ᎤᏤᎵ ᎠᏛᏃᏍᎨᎢ ᎠᎴ ᎧᏁᏉᎨᎢ.,But the word of God grew and multiplied.,8
“ᎨᏍᏗᎩ ᎪᎱᏍᏗ ᏱᎦᎵᏍᏗᏍᎨᎢ.”,“I guess there's nothing wrong with him.”,7
ᎧᎪᎩ?,Who?,1
"ᎠᎩᏲᏍᏙᏗ ᏓᎩᏏᎳᏛᎢ. “ᎤᏣᏔ ᎣᏍᏓ,” ᎠᏉᏪᎶᏗ.",I've got to tear my web apart and write ‘Terrific.’,10
ᏚᏂᏅᎦᎴᎰᏅ.,They’re wiped clean away.,4
ᏥᏲᎵᎩ.,I know him.,3
ᎠᎧᏍᎨᏂ ᎢᏣ ᎤᏓᏏᏁᎢ.,Wilbur stretched out on his side.,6
"ᎦᏙᏃ ᎡᎵᏍᎨ ᏣᎵ, ᏂᎦᎥ ᎤᏲ ᎤᏂᎶᎯᏍᏗ ᎨᏒ ᎠᏂᏴᏫ.",Charley wondered why his people possessed such unreasonable desire.,9
ᎨᏍᏗ ᎩᎶ ᏯᏇᏠᎰ.,Nobody feeds me.,3
ᎤᎭᎨᏓ ᏚᏄᏌᏖᎢ ᎦᏂᎦᏔ ᎡᎹᏂᏓ.,Dr. Dorian had a thick beard.,6
"“ᎠᏆᏔᏃ ᏙᎤᏍᏗ ᎨᏒ ᎯᎠ,” ᎤᏛᏁ ᏩᎭᏯ.","I know what this is, said Wolf.",7
ᎨᏍᏗ ᎦᎵᏥᏙᎥᏍᎩᏱᎩ.,But I was no preacher.,5
ᎨᏍᏗ ᎤᏩᏌ ᏱᎨᏎ.,And this was not a singularity.,6
“ᏛᎵᎩ ᎭᏗ?”,“You mean kill it?,4
ᏔᎵ ᏧᏒᎯᏓ ᎬᎩᏢᏅ ᎨᏒ .,I had not slept in more than a day.,9
“ᎭᎾᏉ ᏙᎦᏘᏁᎬ ᎤᏃᎴ.,“Wherever the wind takes us.,5
"ᎠᏎᏃ, ᎠᏙᎯ ᎤᎴᎿᎴᎢ.",But felt lost in all the trees.,7
"ᏃᎴᏍᏉ, ᏍᎩᏂᏲᏍᏓᏁ ᎣᏍᏓ ᎣᏍᏓᏟᏃᎮᏍᎬ.","Furthermore, you are interrupting a very pleasant conversation.",8
ᎤᎾᏅᏗ ᏦᎳᏂ ᏗᎬᏂᎨ ᎤᏍᎪᎸ ᎨᏒ.,The mullioned parlor windows were grey.,6
ᎧᏂᎩᏛ ᏣᎳᎩᏱ ᎠᏰᎵ.,No more Nation.,3
ᎩᎳᏈᏴ ᏭᏩᏅᏓᏕᎢ ᏄᎦᏌᎴᏍᎬ ᎠᎵᏍᏓᏴᏗ ᏧᏍᏆᏴᏍᏗ.,Suddenly he remembered Templeton’s fondness for food.,7
ᏥᏌ ᎯᎠ ᏄᏪᏎᎸᎩ; ᎡᏣᏙ ᏙᏛᎠᎴᎯᏌᏂ.,"Jesus saith unto her, Thy brother shall rise again.",9
ᏓᎩᎳᎩᏒ ᎦᏂ ᎡᎳᏗ ᏂᏓᏋᏁᎸ ᏗᎦᏅᏆᎶᏍᏗ.,I took out the caps and put the hammers down.,10
ᏌᎳᏓ ᎤᎧᏨᏫᏍᏔᏁᎴ ᏲᎾ ᎤᏤᏍᏙ.,Fern winked at Charlotte.,4
ᎨᏍᏗ ᎪᎰᏍᏗ ᎦᏳᏩᎾᏛᏁᏗ ᏱᎨᏎ.,There was nothing to be done about it.,8
"ᎾᏍᎩᏃ ᎠᏲᎱᎯᏍᏗ ᎨᏒ ᎣᎩᏱᎵᏙᎭ ᎠᏴ, ᏂᎯᏍᎩᏂ ᎬᏂᏛ.","So then death worketh in us, but life in you.",10
ᏂᎯ ᏕᏧᎪᏗᏍᎪ ᎤᏇᏓᎵᏉ ᏧᏬᎪᏙᏗ ᎨᏒᎢ; ᎠᏴ ᎥᏝ ᎩᎶ ᏱᏗᏥᏳᎪᏓᏁᎰᎢ.,Ye judge after the flesh; I judge no man.,9
ᎡᎳᏆᏗ ᎤᏄᎩᏣᏁ ᏲᎾ ᎤᏤᏍᏙ.,Avery hugged Fern.,3
ᏧᏂᏴᏍᏓᎩᏍᎩ ᏄᎾᏍᏛ ᎾᏆᏍᏗ.,I’ve always numbered myself among the drunks.,7
ᎠᏎ ᎠᏯ ᎤᎬᏫᏳᎲ ᎤᏊᎪᏓᏁᎸ.,But I was the one condemned.,6
ᎠᏥᎾ ᏧᎬ ᏗᏧᏓᎴᏁ,It came from a cedar tree,6
"ᎤᎾᏕᏘᏱᏍᎬ ᏓᎦᎷᏥ, ᏃᏗ ᏓᎫᏔᏂ.","Christmas will come, then the snows of winter.",8
ᎤᎴᏫᏍᏔᏁ ᏌᎳᏓ.,Charlotte stopped.,2
”ᏁᎳᎩ!” ᎤᏛᏁ ᏲᎾ ᎤᏤᏍᏙ.,“Leave it alone!” commanded Fern.,5
ᎭᏢᏃ ᏧᏓᎴᏁ ᎯᎠ ᏥᏚᏙᎠ?,Where did the name come from?,6
ᏃᏗ ᏩᎧᏲᏍᎪᎢ ᎤᏍᏓᎦᏴᎯᏓ ᏂᎦᎵᏍᏗᏍᎪ.,Then it dries and forms a crust.,7
ᏕᎭᏘᏃᎸ ᏃᏉ ᏱᏂᏲᎯᏍᏔ ᎢᏳᏍᏘᏉ ᎢᏂᏰᎵᏒ.,Bring them in and we’re done with each other.,9
ᎤᎵᎮᎵᏤ ᎠᏎᏃ ᎤᎸᏔᎵᏕᎾ ᏄᎵᏍᏔᏁᎮ.,He felt happy but dizzy.,5
ᏧᏍᏆᏴᏍᏗ ᎦᏟᎮ.,Templeton was asleep.,3
ᎨᏍᏗ ᏗᎫᏩᎦᏙᏍᏙᏗ ᏱᎨᏎ ᏃᏉ.,He couldn’t bear to watch any more.,7
ᎠᎩᏚᏚ ᎤᏛᏅ.,"He said, My grandfather.",4
ᏂᎦᏓ ᎣᏏᏉᏧ?”,Is everything all right?”,4
ᎨᏍᏗ ᎪᎰᏍᏗ ᏯᏂᏁᎮ ᎤᏂᎯᏍᏙᏗ.,They had no weapon to slay it with.,8
ᎣᏍᏓᎦ ᎡᏓᏍᏗ ᎭᎾ ᏃᎴ ᎡᏝᏪᎯ.,“It must be real nice and quiet down there.,9
"ᎯᎾᏘᏃᎦ, ᎤᏛᏅ ᏲᎾ.","Let’s bring him in, Bear said.",6
